sku,mfgn,qty,price,map,mrp,list,wt,1stclass
10001,"1930.3",3,"977.66","","","1838.00",14,0
10007,"1931.3",4,"977.66","","","1838.00",14,0
10010,9403,7,"16.94","","","30.50","0.1",1
10013,"1939.3",0,"721.81","","","1357.00",12,0
10015,9428,2,"55.00","","","99.00","0.8",0
10018,2215,1,"14.41","","","24.50","0.1",1
10020,2228,1,"2.06","","","2.99","0.1",1
10021,6001,7,"57.67","","","103.80","0.1",1
10024,6003,7,"57.67","","","103.80","0.1",1
10025,"1928.3",1,"107.78","","","194.00",1,0
10026,6002,2,"29.89","","","53.80","0.1",1
10027,"1927.3",1,"244.44","","","440.00",1,0
10030,"9283.3",3,"292.22","","","526.00","1.5",0
10036,"AT130",0,"436.50","","","690.00","7.2",0
10043,9430,2,"89.33","","","160.80","0.8",1
10046,"HM157B 11",2,"90.66","109.00","","175.00","1.6",0
10149,"SP24",0,"41.46","","","57.00",1,0
10156,"BP215N",1,"69.84","","","90.00","0.3",1
10157,"BC147SA 14",1,"10.91","","","15.00","0.5",1
10158,"BP224",0,"45.84","","","63.00","0.4",1
10167,"MB75",13,"25.46","","","35.00","0.2",1
10169,"OPC999",3,"38.03","","","49.00","0.6",1
10171,"M88 01",21,"229.38","","","444.00","2.1",0
10207,"MB69",8,"26.91","","","37.00","0.2",1
10341,"X-10-M",5,"24.40","","","","0.3",1
10342,"SS-1002",1,"149.47","","","","2.1",0
10345,"SS-2000",2,"259.31","","","","2.9",0
10348,"FN-201",0,"218.84","","","","2.9",0
10349,"BN-202",2,"231.82","","","","2.8",0
10350,"SP-5-B",0,"510.91","","","","5.9",0
10351,"F-50",2,"48.35","","","","0.9",0
10352,"SS-5000",0,"449.98","","","","5.7",0
10353,"F-50W",3,"48.35","","","","0.9",0
10354,"B-51",4,"47.54","","","",1,0
10355,"S-53",4,"47.54","","","","0.8",0
10357,"V-57W.2",3,"51.42","","","","0.8",0
10360,"HF-742",2,"132.00","","","","2.1",0
10361,"HF-743",2,"132.00","","","","2.05",0
10366,"B-80",4,"92.31","","","","1.7",0
10367,"B-81",5,"92.31","","","","1.4",0
10368,"F-82",3,"88.31","","","","1.4",0
10369,"F-83",0,"88.31","","","","1.2",0
10373,"RU-90",4,"79.07","","","","1.3",0
10374,"DNB-200",1,"295.89","","","","3.6",0
10377,"DNP-200",2,"295.89","","","","3.6",0
10378,"YB-500",0,"682.69","","","","17.35",0
10391,"220SW",1,"30.00","","","40.00","1.4",0
10394,"MMB-84",34,"13.60","","","17.00","0.2",1
10406,"E25025",3,"95.82","","","114.99","2.6",0
10441,"SP-80-4",0,"1819.30","","","2599.00","20.6",0
10442,"SP-80-3",1,"1679.30","","","2399.00","23.15",1
10446,"SRA-1",1,"367.50","","","525.00","1.05",0
10471,"SP-70-4",0,"1819.30","","","2599.00",14,0
10472,"SP-70-3",0,"1679.30","","","2399.00","22.75",1
10490,"GPS-90MKII",3,"328.30","","","469.00","5.6",0
10510,"MS-2",1,"50.00","","","99.00",1,0
10532,"X-11Y",3,"29.80","","","","0.3",1
10533,"FNW-201",1,"218.84","","","","2.9",0
10534,"HF-742W",0,"132.00","","","","2.1",0
10535,"HF-743W",2,"132.00","","","","2.1",0
10536,"F-82W",1,"88.31","","","","1.5",0
10537,"F-83W",3,"88.31","","","","1.3",0
10539,"RA-91",3,"47.54","","","","0.8",1
10540,"RA-93",3,"47.54","","","","0.8",0
10541,"BN-C",5,"17.56","","","","0.4",1
10543,"H-71-C",4,"15.61","","","","0.2",1
10544,"HV-C",1,"15.61","","","","0.3",1
10545,"LL-C",0,"21.14","","","","0.3",1
10548,"N-203-C",3,"16.29","","","","0.3",1
10549,"NC-20",2,"21.14","","","","0.3",1
10550,"GM-5-C",2,"33.89","","","","0.3",1
10552,"010-10117-02",37,"6.96","","","12.69","0.18",1
10557,"010-10052-04",3,"69.99","","","99.99","0.55",1
10562,"010-10082-00",10,"19.58","","","27.96","0.25",1
10563,"010-10085-00",3,"12.81","","","23.30","0.33",1
10578,"010-10083-00",7,"16.31","","","23.30","0.5",1
10587,4208,0,"27.64","","","50.95",2,0
10591,"176-1",1,"130.60","","","306.95",15,0
10595,390,0,"132.95","","","312.95",20,0
10596,393,28,"185.98","","","437.95","5.2",0
10597,"396-1",16,"76.17","","","179.95","2.9",0
10599,"399-1M",5,"153.25","","","363.95","5.2",0
10601,4018,5,"237.56","","","558.95",25,0
10602,"4018-M",3,"266.43","","","626.95",25,0
10603,"4050-B",0,"61.02","","","143.95","2.4",0
10604,4051,1,"40.75","","","96.95","1.4",0
10605,420,0,"69.08","","","162.95","3.2",0
10609,4351,10,"42.84","","","101.95","1.4",0
10612,476,3,"526.26","","","1236.95",40,0
10618,5018,36,"294.35","","","691.95","11.6",0
10627,"5206-N",108,"31.91","","","84.95","2.4",0
10631,5215,33,"38.78","","","98.95","1.5",0
10632,"5215-C-X",11,"76.17","","","179.95","4.2",0
10635,"5223-XT",0,"88.42","","","242.95","2.2",0
10636,"5225-XT",231,"90.51","","","253.95","2.2",0
10637,"5226-XT",34,"117.16","","","294.95","2.4",0
10640,5230,8,"254.60","","","598.95",11,0
10642,5300,0,"356.35","","","837.95",30,0
10645,5390,3,"263.13","","","618.95",11,0
10648,5911,6,"41.41","","","97.95","0.9",1
10654,4008,11,"74.78","","","195.95","2.5",0
10656,"4008-4",9,"57.97","","","161.95","2.8",0
10657,407,5,"46.53","","","104.95","2.2",0
10658,"408-R",24,"12.63","","","26.95","0.6",1
10659,"409-R",20,"71.68","","","153.95","2.7",0
10660,"410-R",25,"57.40","","","122.95",2,0
10661,"4186-BP",131,"5.57","","","11.85","0.5",1
10662,"4186-U",16,"5.88","","","12.88","0.7",1
10663,4187,224,"27.29","","","83.17",2,0
10666,4191,0,"45.38","","","96.95","1.4",0
10668,4352,7,"23.49","","","53.95","0.38",1
10672,"4364-B",28,"18.60","","","39.09","0.5",0
10673,4365,57,"16.49","","","37.95","0.7",0
10676,"495-B",10,"17.53","","","37.95","0.6",1
10679,5228,6,"108.49","","","252.95","2.4",0
10680,"5228-4",9,"82.80","","","194.95","2.8",0
10682,"81-S",7,"43.18","","","98.95","1.4",0
10688,"3940.1",0,"97.78","","","176.00","3.4",0
10700,"01-0148",0,"530.00","","","795.00","2.1",0
10702,"01-0115",0,"1007.50","","","1395.00","6.3",0
10704,"01-0117-0001",0,"530.00","","","795.00","2.2",0
10705,"01-0118-0001",6,"530.00","","","795.00","2.1",0
10780,"7000-231-1",0,"392.50","","","785.00","1.9",0
10781,"7000-231-2",0,"445.00","","","890.00","2.4",0
10782,"7000-20B-1",0,"392.50","","","785.00","2.1",0
